title,price,area,location,info,date,page
"*** MBKD cần cho thuê DT: 70m2 tại Lê Trọng Tấn, Thanh Xuân",10 triệu/tháng,70 m²,Quận Thanh Xuân,Mặt bằng kinh doanh,Tin ưu tiên,https://www.nhatot.com/thue-bat-dong-san-ha-noi
Căn Hộ dịch vụ 35m2 full nội thất từng phòng vào ở luôn  Dốc Tam Đa,"6,2 triệu/tháng",35 m²,Quận Tây Hồ,"1 PN  Căn hộ dịch vụ, mini",Tin ưu tiên,https://www.nhatot.com/thue-bat-dong-san-ha-noi
Phòng trọ Kép Kín Triều Khúc - Thanh Xuân,"3,5 triệu/tháng",25 m²,Quận Thanh Xuân,Nội thất đầy đủ,Tin ưu tiên,https://www.nhatot.com/thue-bat-dong-san-ha-noi
Chính chủ cho thuê căn hộ chung cư 2n1k lạc long quân,"12,5 triệu/tháng",65 m²,Quận Cầu Giấy,2 PN  Chung cư,Tin ưu tiên,https://www.nhatot.com/thue-bat-dong-san-ha-noi
CỬA HÀNG KINH DOANH MẶT PHỐ ĐÔNG CÁC Ô CHỢ DỪA ĐỐNG ĐA,15 triệu/tháng,30 m²,Quận Đống Đa,Mặt bằng kinh doanh  Hoàn thiện cơ bản,Tin ưu tiên,https://www.nhatot.com/thue-bat-dong-san-ha-noi
CHÍNH CHỦ CẦN CHO THUÊ NGAY NHÀ RIÊNG 1.5 TẦNG,"4,5 triệu/tháng",15 m²,Quận Thanh Xuân,"2 PN  Nhà ngõ, hẻm",Tin nổi bật,https://www.nhatot.com/thue-bat-dong-san-ha-noi
"Phòng trọ sinh viên tại Trần Thái Tông, Cầu Giấy",2 triệu/tháng,15 m²,Quận Cầu Giấy,Nội thất đầy đủ,9 phút trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
"CHO THUÊ STUDIO TÁCH BẾP BAN CÔNG CỬA SỔ NGAY TRẦN BÌNH, NGUYỄN HOÀNG","5,5 triệu/tháng",35 m²,Quận Cầu Giấy,"1 PN  Căn hộ dịch vụ, mini",9 phút trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
Chính chủ cho thuê căn hộ chung cư mini mới xây tại Hoàng Hoa Thám,6 triệu/tháng,25 m²,Quận Ba Đình,"6 PN  Hướng Nam  Căn hộ dịch vụ, mini",11 phút trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
phòng 3tr2 trong căn 3 ngủ 1 khách tầng thấp hh2c Linh Đàm,"3,2 triệu/tháng",17 m²,Quận Hoàng Mai,Nội thất đầy đủ,17 phút trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
Nguyên căn shophouse x2a yên sở,40 triệu/tháng,300 m²,Quận Hoàng Mai,Văn phòng  Hoàn thiện cơ bản,Tin nổi bật,https://www.nhatot.com/thue-bat-dong-san-ha-noi
KHAI TRƯƠNG CĂN HỘ STUDIO - DULEXE NGAY BẢO TÀNG THIÊN NHIÊN VIỆT NAM,"5,8 triệu/tháng",30 m²,Quận Cầu Giấy,"1 PN  Căn hộ dịch vụ, mini",21 phút trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
"Cho thuê chung cư Ngoại Giao Đoàn 3 phòng ngủ , 2 VS.",17 triệu/tháng,84 m²,Quận Bắc Từ Liêm,3 PN  Hướng Bắc  Chung cư,23 phút trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
"cho thuê phòng ở ngắn hạn và dài hạn, phòng sạch đẹp",3 triệu/tháng,50 m²,Huyện Đông Anh,Nội thất đầy đủ,Tin nổi bật,https://www.nhatot.com/thue-bat-dong-san-ha-noi
