Mã bản tin,Tên xe,Giá tiền,Ngày đăng tin,Năm sản xuất,Nhiên liệu,Kiểu dáng,Tình trạng,Số km đã đi,Hộp số,Xuất xứ,Địa điểm,URL,Giá tiền (triệu),Số km đã đi (km)
23372753,Acura CDX 2010,158 triệu,3/10/2025,2010,Máy xăng,Sedan,Xe cũ,170.000 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-acura-cdx-ha-noi/lacetty-2010-170000-km-aidxc23372753,158,170000
23368419,Acura CDX 2009,152 triệu,20/09/2025,2009,Máy xăng,Sedan,Xe cũ,89.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-acura-cdx-hcm/16-nhap-han-2009-xe-dep-hiem-gap-xem-la-me-aidxc23368419,152,89000
23373833,Acura MDX 2008,365 triệu,6/10/2025,2008,Máy xăng,SUV,Xe cũ,120.000 km,Số tự động,Nhập khẩu,Đà Nẵng,https://oto.com.vn/mua-ban-xe-acura-mdx-da-nang/2008-120000-km-aidxc23373833,365,120000
23364615,Acura MDX 2008,269 triệu,12/9/2025,2008,Máy xăng,SUV,Xe cũ,90.000 km,Số tự động,Nhập khẩu,Đà Nẵng,https://oto.com.vn/mua-ban-xe-acura-mdx-da-nang/2008-aaa-aidxc23364615,269,90000
23349712,Acura MDX 2008,265 triệu,2/8/2025,2008,Máy xăng,SUV,Xe cũ,60.000 km,Số tự động,Nhập khẩu,Hoàn Kiếm - Hà Nội,https://oto.com.vn/mua-ban-xe-acura-mdx-ha-noi/gd-can-ban-sh-2008-7-cho-xe-nhap-khau-canada-nguyen-chiec-tmot-chu-di-tu-moi-chay-6-aidxc23349712,265,60000
23374387,Acura MDX 2007,270 triệu,8/10/2025,2007,Máy xăng,SUV,Xe cũ,125.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-acura-mdx-hcm/2007-sh-awd-125000-km-aidxc23374387,270,125000
23367148,Acura MDX 2007,270 triệu,17/09/2025,2007,Máy xăng,SUV,Xe cũ,01 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-acura-mdx-hcm/sh-awd-2007-aidxc23367148,270,1
23367135,Acura MDX 2008,299 triệu,17/09/2025,2008,Máy xăng,SUV,Xe cũ,100.000 km,Số tự động,Nhập khẩu,Đoan Hùng - Phú Thọ,https://oto.com.vn/mua-ban-xe-acura-mdx-phu-tho/suv-nhap-canada-chat-luong-cao-gia-cuc-re-aidxc23367135,299,100000
23373920,Acura SLX 2010,160 triệu,7/10/2025,2010,Máy xăng,SUV,Xe cũ,110.000 km,Số sàn,Nhập khẩu,Hải Phòng,https://oto.com.vn/mua-ban-xe-acura-slx-hai-phong/2010-10-mt-110000-km-aidxc23373920,160,110000
23371859,Acura SLX 2008,127 triệu,30/09/2025,2008,Máy xăng,Hatchback,Xe cũ,88.000 km,Số tự động,Nhập khẩu,Việt Trì - Vĩnh Phúc,https://oto.com.vn/mua-ban-xe-acura-slx-vinh-phuc/2008-aidxc23371859,127,88000
23364460,Audi A7 Sportback 55 TFSI Quattro 2011,580 triệu,11/9/2025,2011,Máy xăng,Sedan,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a-7-sportback-ha-noi/a7-sportback-san-xuat-2011-aidxc23364460,580,82159.70347
23183834,Audi A1 2010,370 triệu,21/03/2025,2010,Máy xăng,Hatchback,Xe cũ,90.000 km,Số tự động,Nhập khẩu,Hoàn Kiếm - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a1-ha-noi/370-trieu-aidxc23183834,370,90000
23365119,Audi A1 S-Line 2010,400 triệu,13/09/2025,2010,Máy xăng,Sedan,Xe cũ,01 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a1-ha-noi/sx-2010-tang-vo-aidxc23365119,400,1
23367970,Audi A1 S-Line 2012,410 triệu,19/09/2025,2012,Máy xăng,Hatchback,Xe cũ,160.000 km,Số tự động,Nhập khẩu,Long Biên - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a1-ha-noi/xe-tu-nhan-chinh-chu-bao-check-xe-thoai-mai-aidxc23367970,410,160000
23332660,Audi A4 1.8L TFSI 2010,280 triệu,15/06/2025,2010,Máy xăng,Sedan,Xe cũ,96.000 km,Số tự động,Nhập khẩu,Thủ Dầu Một - Bình Dương,https://oto.com.vn/mua-ban-xe-audi-a4-binh-duong/dam-me-aidxc23332660,280,96000
23358667,Audi A4 2.0 TFSI 2017,650 triệu,26/08/2025,2017,Máy xăng,Sedan,Xe cũ,57.000 km,Số tự động,Nhập khẩu,Đà Nẵng,https://oto.com.vn/mua-ban-xe-audi-a4-da-nang/ban-xe-sedan-cao-cap-2017-chay-it-gia-tot-aidxc23358667,650,57000
23365107,Audi A4 2015,475 triệu,13/09/2025,2015,Máy xăng,SUV,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a4-ha-noi/2015-aidxc23365107,475,82159.70347
23369811,Audi A4 2.0 TFSI 2016,699 triệu,24/09/2025,2016,Máy xăng,Sedan,Xe cũ,29.800 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a4-ha-noi/2016-20-tfsi-29800-km-aidxc23369811,699,29800
23372129,Audi A4 2016,680 triệu,1/10/2025,2016,Máy xăng,Sedan,Xe cũ,90.000 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a4-ha-noi/2016-aidxc23372129,680,90000
23323751,Audi A4 2.0 TFSI 2020,1 tỉ 050 triệu,17/05/2025,2020,Máy xăng,Sedan,Xe cũ,39.000 km,Số tự động,Nhập khẩu,Cầu Giấy - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a4-ha-noi/20tfsi-2020-aidxc23323751,1050,39000
23366719,Audi A4 2.0 TFSI 2016,699 triệu,17/09/2025,2016,Máy xăng,Sedan,Xe cũ,82.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/20-tfsi-2016-699-trieu-aidxc23366719,699,82000
23366133,Audi A4 2008,300 triệu,15/09/2025,2008,Máy xăng,Sedan,Xe cũ,100.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/2008-100000-km-aidxc23366133,300,100000
23368582,Audi A4 2010,220 triệu,21/09/2025,2010,Máy xăng,Sedan,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/2010-20t-quattro-50000-km-aidxc23368582,220,50000
23369260,Audi A4 1.8L TFSI 2014,375 triệu,23/09/2025,2014,Máy xăng,Sedan,Xe cũ,120.000 km,Số tự động,Nhập khẩu,Hóc Môn - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/2014-120000-km-aidxc23369260,375,120000
23371454,Audi A4 2.0 TFSI 2017,699 triệu,29/09/2025,2017,Máy xăng,Sedan,Xe cũ,70.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/2017-20-tfsi-70000-km-aidxc23371454,699,70000
23341402,Audi A4 2017,699 triệu,15/07/2025,2017,Máy xăng,Sedan,Xe cũ,4.800 km,Số tự động,Nhập khẩu,Bình Thạnh - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/ban-apec-cuc-hiem-aidxc23341402,699,4800
23375257,Audi A4 S-Line 2014,498 triệu,10/10/2025,2014,Máy xăng,Sedan,Xe cũ,65.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/ban-lai-sieu-pham-sedan-fl-model-2015-aidxc23375257,498,65000
23369560,Audi A4 1.8L TFSI 2014,499 triệu,24/09/2025,2014,Máy xăng,Sedan,Xe cũ,65.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/model-2015-mau-den-cuc-ngau-sieu-dep-aidxc23369560,499,65000
23316944,Audi A4 1.8L TFSI 2013,478 triệu,28/05/2025,2013,Máy xăng,Sedan,Xe cũ,53.000 km,Số tự động,Nhập khẩu,Bình Tân - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/trangden-sx2013-aidxc23316944,478,53000
23330022,Audi A4 1.8L TFSI 2013,488 triệu,6/6/2025,2013,Máy xăng,Sedan,Xe cũ,53.000 km,Số tự động,Nhập khẩu,Bình Tân - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/trangden-sx2013-aidxc23330022,488,53000
23349432,Audi A4 1.8L TFSI 2013,385 triệu,3/9/2025,2013,Máy xăng,Sedan,Xe cũ,120.000 km,Số tự động,Nhập khẩu,Hóc Môn - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/xe-con-rat-dep-aidxc23349432,385,120000
23336410,Audi A4 2.0 TFSI 2016,650 triệu,30/06/2025,2016,Máy xăng,Sedan,Xe cũ,46.000 km,Số tự động,Nhập khẩu,Quận 12 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/xe-nhap-duc-chat-luong-cao-odo-thap-aidxc23336410,650,46000
23364845,Audi A5 Sportback 2.0 TFSI 2015,520 triệu,12/9/2025,2015,Máy xăng,Sedan,Xe cũ,110.000 km,Số tự động,Nhập khẩu,Long Biên - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a5-ha-noi/chay-chuan-11-van-km-aidxc23364845,520,110000
23374315,Audi A5 2017,1 tỉ 039 triệu,8/10/2025,2017,Máy xăng,Sedan,Xe cũ,50.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a5-hcm/2017-tai-tp-aidxc23374315,1039,82159.70347
23063778,Audi A6 2.0T 2011,450 triệu,14/04/2025,2011,Máy xăng,Sedan,Xe cũ,150.000 km,Số tự động,Nhập khẩu,Thuận An - Bình Dương,https://oto.com.vn/mua-ban-xe-audi-a6-binh-duong/xuat-xu-duc-aidxc23063778,450,150000
23370300,Audi A6 1.8 TFSI 2017,720 triệu,25/09/2025,2017,Máy xăng,Sedan,Xe cũ,73.868 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a6-ha-noi/2017-18-tfsi-73868-km-aidxc23370300,720,73868
23300527,Audi A6 2015,686 triệu,20/03/2025,2015,Máy xăng,SUV,Xe cũ,92.000 km,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a6-ha-noi/gia-chi-686-trieu-aidxc23300527,686,92000
22911198,Audi A6 1.8 TFSI 2015,790 triệu,3/6/2025,2015,Máy xăng,Sedan,Xe cũ,52.000 km,Số tự động,Nhập khẩu,Nam Từ Liêm - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a6-ha-noi/trung-son-auto-ban-18-tfsi-moden-2016-aidxc22911198,790,52000
23349248,Audi A6 1.8 TFSI 2010,303 triệu,31/07/2025,2010,Máy xăng,Sedan,Xe cũ,70.000 km,Số tự động,Nhập khẩu,Thanh Xuân - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a6-ha-noi/vien-ngoc-duy-nhat-aidxc23349248,303,70000
23365021,Audi A6 2.0 TFSI 2015,670 triệu,12/9/2025,2015,Máy xăng,Sedan,Xe cũ,80.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/20-tfsi-2015-670-trieu-aidxc23365021,670,80000
23350047,Audi A6 1.8 TFSI 2013,390 triệu,6/10/2025,2013,Máy xăng,Sedan,Xe cũ,75.000 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/2013-aidxc23350047,390,75000
23322962,Audi A6 1.8 TFSI 2015,600 triệu,6/10/2025,2015,Máy xăng,Sedan,Xe cũ,80.000 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/2015-moden-2016-aidxc23322962,600,80000
23370678,Audi A6 1.8 TFSI 2016,620 triệu,26/09/2025,2016,Máy xăng,Sedan,Xe cũ,80.000 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/2016-18-tfsi-80000-km-aidxc23370678,620,80000
23375297,Audi A6 2016,595 triệu,10/10/2025,2016,Máy xăng,Sedan,Xe cũ,84 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/2016-tai-tp-aidxc23375297,595,84
23373638,Audi A6 2.0 TFSI 2017,790 triệu,6/10/2025,2017,Máy xăng,Sedan,Xe cũ,90.000 km,Số tự động,Nhập khẩu,Quận 2 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/apec-sx2017-aidxc23373638,790,90000
23325105,Audi A6 1.8 TFSI 2017,769 triệu,20/05/2025,2017,Máy xăng,Sedan,Xe cũ,62.500 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/cong-ty-xuat-hoa-don-aidxc23325105,769,62500
23324953,Audi A6 1.8 TFSI 2017,769 triệu,20/05/2025,2017,Máy xăng,Sedan,Xe cũ,62.000 km,Số tự động,Nhập khẩu,Quận 7 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/form-sang-may-em-xe-chat-chi-769-trieu-aidxc23324953,769,62000
23371893,Audi A6 2.0 TFSI 2014,379 triệu,30/09/2025,2014,Máy xăng,Sedan,Xe cũ,123 km,Số tự động,Nhập khẩu,Bình Chánh - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a6-hcm/len-doi-ban-re-xe-zin-az-rat-dep-nhu-moi-hoac-doi-xe-lon-hon-aidxc23371893,379,123
23368548,Audi A7 55 TFSI Quattro 2014,799 triệu,21/09/2025,2014,Máy xăng,Sedan,Xe cũ,85.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a7-hcm/2014-30-tfsi-quattro-85000-km-aidxc23368548,799,85000
23258442,Audi A7 3.0 TFSI 2012,590 triệu,22/09/2025,2012,Máy xăng,Hatchback,Xe cũ,88.980 km,Số tự động,Nhập khẩu,Bình Thạnh - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a7-hcm/30-nhap-2012-loai-5-cua-full-do-choi-cao-cap-cop-dien-cua-hit-hai-cau-noi-that-niem-aidxc23258442,590,88980
23242655,Audi A8 4.2 2011,1 tỉ 190 triệu,7/5/2025,2011,Máy xăng,Sedan,Xe cũ,55.000 km,Số tự động,Nhập khẩu,Nam Từ Liêm - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a8-ha-noi/42-ban-4-ghe-thuong-gia-aidxc23242655,1190,55000
23374112,Audi Q2 1.4 TFSI 2017,777 triệu,7/10/2025,2017,Máy xăng,SUV,Xe cũ,68.000 km,Số tự động,Nhập khẩu,Hoàng Mai - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-q2-ha-noi/2017-68000-km-aidxc23374112,777,68000
23373225,Audi Q2 1.4 TFSI 2018,828 triệu,4/10/2025,2018,Máy xăng,SUV,Xe cũ,01 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q2-hcm/14-tfsi-2018-mau-vang-trend-aidxc23373225,828,1
23366408,Audi Q2 2019,858 triệu,16/09/2025,2019,Máy xăng,SUV,Xe cũ,41.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q2-hcm/2019-41000-km-aidxc23366408,858,41000
23372447,Audi Q2 30 TFSI 2019,856 triệu,2/10/2025,2019,Máy xăng,SUV,Xe cũ,41.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-q2-hcm/2019-41000-km-aidxc23372447,856,41000
