Mã bản tin,Tên xe,Giá tiền,Ngày đăng tin,Năm sản xuất,Nhiên liệu,Kiểu dáng,Tình trạng,Số km đã đi,Hộp số,Xuất xứ,Địa điểm,URL,Giá tiền (triệu),Số km đã đi (km)
23372753,Acura CDX 2010,158 triệu,3/10/2025,0.166666667,Máy xăng,Sedan,Xe cũ,170.000 km,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-acura-cdx-ha-noi/lacetty-2010-170000-km-aidxc23372753,0.09550173,0.939226184
23368419,Acura CDX 2009,152 triệu,20/09/2025,0.111111111,Máy xăng,Sedan,Xe cũ,89.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-acura-cdx-hcm/16-nhap-han-2009-xe-dep-hiem-gap-xem-la-me-aidxc23368419,0.091349481,0.491709899
23373833,Acura MDX 2008,365 triệu,6/10/2025,0.055555556,Máy xăng,SUV,Xe cũ,120.000 km,Số tự động,Nhập khẩu,Đà Nẵng,https://oto.com.vn/mua-ban-xe-acura-mdx-da-nang/2008-120000-km-aidxc23373833,0.238754325,0.662981563
23364615,Acura MDX 2008,269 triệu,12/9/2025,0.055555556,Máy xăng,SUV,Xe cũ,90.000 km,Số tự động,Nhập khẩu,Đà Nẵng,https://oto.com.vn/mua-ban-xe-acura-mdx-da-nang/2008-aaa-aidxc23364615,0.172318339,0.497234791
23349712,Acura MDX 2008,265 triệu,2/8/2025,0.055555556,Máy xăng,SUV,Xe cũ,60.000 km,Số tự động,Nhập khẩu,Hoàn Kiếm - Hà Nội,https://oto.com.vn/mua-ban-xe-acura-mdx-ha-noi/gd-can-ban-sh-2008-7-cho-xe-nhap-khau-canada-nguyen-chiec-tmot-chu-di-tu-moi-chay-6-aidxc23349712,0.169550173,0.331488019
23374387,Acura MDX 2007,270 triệu,8/10/2025,0,Máy xăng,SUV,Xe cũ,125.000 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-acura-mdx-hcm/2007-sh-awd-125000-km-aidxc23374387,0.173010381,0.690606025
23367148,Acura MDX 2007,270 triệu,17/09/2025,0,Máy xăng,SUV,Xe cũ,01 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-acura-mdx-hcm/sh-awd-2007-aidxc23367148,0.173010381,0
23367135,Acura MDX 2008,299 triệu,17/09/2025,0.055555556,Máy xăng,SUV,Xe cũ,100.000 km,Số tự động,Nhập khẩu,Đoan Hùng - Phú Thọ,https://oto.com.vn/mua-ban-xe-acura-mdx-phu-tho/suv-nhap-canada-chat-luong-cao-gia-cuc-re-aidxc23367135,0.193079585,0.552483715
23373920,Acura SLX 2010,160 triệu,7/10/2025,0.166666667,Máy xăng,SUV,Xe cũ,110.000 km,Số sàn,Nhập khẩu,Hải Phòng,https://oto.com.vn/mua-ban-xe-acura-slx-hai-phong/2010-10-mt-110000-km-aidxc23373920,0.096885813,0.607732639
23371859,Acura SLX 2008,127 triệu,30/09/2025,0.055555556,Máy xăng,Hatchback,Xe cũ,88.000 km,Số tự động,Nhập khẩu,Việt Trì - Vĩnh Phúc,https://oto.com.vn/mua-ban-xe-acura-slx-vinh-phuc/2008-aidxc23371859,0.074048443,0.486185007
