title,price,area,location,info,date,page
CHO THUÊ PHÒNG TRỌ GIÁ RẺ 4 TẦNG MỚI,2 triệu/tháng,35 m²,Huyện Hoài Đức,Nhà trống,Tin ưu tiên,https://www.nhatot.com/thue-bat-dong-san-ha-noi
Căn Hộ dịch vụ 35m2 full nội thất từng phòng vào ở luôn  Dốc Tam Đa,"6,2 triệu/tháng",35 m²,Quận Tây Hồ,"1 PN  Căn hộ dịch vụ, mini",Tin ưu tiên,https://www.nhatot.com/thue-bat-dong-san-ha-noi
CHO THUÊ VĂN PHÒNG TRỌN GÓI 5-10 NGƯỜI CHỈ TỪ 9TR -  Q. THANH XUÂN,9 triệu/tháng,15 m²,Quận Thanh Xuân,Văn phòng,Tin ưu tiên,https://www.nhatot.com/thue-bat-dong-san-ha-noi
"Chung cư mini 25m2 1PN số 5E ngách 68 ngõ 29 Khương Hạ, Thanh Xuân",4 triệu/tháng,25 m²,Quận Thanh Xuân,Nội thất đầy đủ,Tin ưu tiên,https://www.nhatot.com/thue-bat-dong-san-ha-noi
căn hộ 1 ngủ  giá  5 triệu nguyễn khang cho thuê,5 triệu/tháng,15 m²,Quận Cầu Giấy,"1 PN  Hướng Đông Nam  Căn hộ dịch vụ, mini",Tin ưu tiên,https://www.nhatot.com/thue-bat-dong-san-ha-noi
"Cho thuê biệt thự, liền kề Làng Việt Kiều Châu Âu, Mỗ Lao, Hà Đông,",55 triệu/tháng,250 m²,Quận Hà Đông,Văn phòng  Hoàn thiện cơ bản,14 phút trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
"CHO THUÊ 1N1K BAN CÔNG RỘNG RÃI MỚI TINH NGAY MỸ ĐÌNH, LÊ ĐỨC THỌ","7,5 triệu/tháng",60 m²,Quận Nam Từ Liêm,"1 PN  Căn hộ dịch vụ, mini",18 phút trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
"CHO THUÊ STUDIO BAN CÔNG DIỆN TÍCH RỘNG NGAY MIẾU ĐÂM, TOÀ KEANG NAM","4,5 triệu/tháng",30 m²,Quận Nam Từ Liêm,"1 PN  Căn hộ dịch vụ, mini",31 phút trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
cần cho thuê cân hô  ngõ 374/3 trần khát trân 25 m2  xây mới thang máy,"4,6 triệu/tháng",25 m²,Quận Hai Bà Trưng,Nội thất đầy đủ,Tin nổi bật,https://www.nhatot.com/thue-bat-dong-san-ha-noi
Cho thuê căn hộ 1N1K full nội thất 50m2 mặt phố lạc long quân,9 triệu/tháng,50 m²,Quận Tây Hồ,"1 PN  Căn hộ dịch vụ, mini",Tin nổi bật,https://www.nhatot.com/thue-bat-dong-san-ha-noi
"CHÍNH CHỦ CHO THUÊ NHÀ THUỴ KHUÊ, TÂY HỒ MỚI XÂY THOÁNG MÁT - CÁCH PHỐ",16 triệu/tháng,33 m²,Quận Tây Hồ,"3 PN  Hướng Nam  Nhà ngõ, hẻm",Tin nổi bật,https://www.nhatot.com/thue-bat-dong-san-ha-noi
Cho thuê nhà mặt phố Minh Khai,"6,5 triệu/tháng",33 m²,Quận Hai Bà Trưng,Mặt bằng kinh doanh  Hoàn thiện cơ bản,1 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
Chính chủ cho thuê chung cư Skylight Minh Khai,15 triệu/tháng,100 m²,Quận Hai Bà Trưng,3 PN  Hướng Bắc  Chung cư,1 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
6 TẦNG - Ô TÔ - LÔ GÓC - 4 NGỦ - Ở NGAY - SÁT PHỐ,16 triệu/tháng,35 m²,Quận Hoàng Mai,"4 PN  Nhà ngõ, hẻm",1 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
"Phòng trọ 60 m2 Ngõ số 4 Hoàng Quốc Việt, Cầu Giấy","5,5 triệu/tháng",60 m²,Quận Cầu Giấy,N/A,1 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
CHO THUÊ CCMN PHỐ TÂY SƠN. BAN CÔNG . GÁC XÉP . GIÁ 6TR5,"6,5 triệu/tháng",25 m²,Quận Đống Đa,"1 PN  Căn hộ dịch vụ, mini",2 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
"Cho thuê CC Imperia I1 Smart City, 2PN, 2WC, miễn phí dịch vụ, hướng đ","13,5 triệu/tháng",62 m²,Quận Nam Từ Liêm,2 PN  Hướng Đông  Chung cư,Tin nổi bật,https://www.nhatot.com/thue-bat-dong-san-ha-noi
"CHO THUÊ CĂN HỘ 1N1K NGAY TÂY HỒ, MỚI TINH FULL NỘI THẤT Ô TÔ ĐỖ CỬA","7,8 triệu/tháng",45 m²,Quận Tây Hồ,"1 PN  Căn hộ dịch vụ, mini",2 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
"Chính chủ cho thuê 1 sàn của tòa nhà 8 tầng quận Hoàng Mai, Hà Nội","18,8 triệu/tháng",185 m²,Quận Hoàng Mai,Văn phòng  Nội thất cao cấp,2 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
CHO THUÊ STUDIO BAN CÔNG CỬA SỔ THOÁNG NGAY XUÂN THUỶ - CẦU GIẤY,"4,6 triệu/tháng",20 m²,Quận Cầu Giấy,"1 PN  Căn hộ dịch vụ, mini",2 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi
CHỦ CHO THUÊ CĂN HỘ STUDIO 20-25m2 ĐỦ ĐỒ PHỐ CHÙA LÁNG,"6,5 triệu/tháng",25 m²,Quận Đống Đa,"1 PN  Căn hộ dịch vụ, mini",Tin ưu tiên,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
"*** MBKD cần cho thuê DT: 70m2 tại Lê Trọng Tấn, Thanh Xuân",10 triệu/tháng,70 m²,Quận Thanh Xuân,Mặt bằng kinh doanh,Tin ưu tiên,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
Căn Hộ dịch vụ 35m2 full nội thất từng phòng vào ở luôn  Dốc Tam Đa,"6,2 triệu/tháng",35 m²,Quận Tây Hồ,"1 PN  Căn hộ dịch vụ, mini",Tin ưu tiên,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
"Chính chủ cho thuê căn hộ 2PN tại Trần Phú, Ba Đình - Full nội thất","11,5 triệu/tháng",60 m²,Quận Ba Đình,"2 PN  Căn hộ dịch vụ, mini",Tin ưu tiên,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
Phòng trọ Khép Kín 30m2 Louis City Hoàng Mai,"3,2 triệu/tháng",20 m²,Quận Hoàng Mai,Nội thất cao cấp,Tin ưu tiên,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
"CHO THUÊ STUDIO TÁCH BẾP BAN CÔNG CỬA SỔ NGAY TRẦN BÌNH, NGUYỄN HOÀNG","5,5 triệu/tháng",35 m²,Quận Cầu Giấy,"1 PN  Căn hộ dịch vụ, mini",2 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
Chính chủ cho thuê căn hộ chung cư mini mới xây tại Hoàng Hoa Thám,6 triệu/tháng,25 m²,Quận Ba Đình,"6 PN  Hướng Nam  Căn hộ dịch vụ, mini",2 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
phòng 3tr2 trong căn 3 ngủ 1 khách tầng thấp hh2c Linh Đàm,"3,2 triệu/tháng",17 m²,Quận Hoàng Mai,Nội thất đầy đủ,2 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
Nguyên căn shophouse x2a yên sở,40 triệu/tháng,300 m²,Quận Hoàng Mai,Văn phòng  Hoàn thiện cơ bản,Tin nổi bật,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
KHAI TRƯƠNG CĂN HỘ STUDIO - DULEXE NGAY BẢO TÀNG THIÊN NHIÊN VIỆT NAM,"5,8 triệu/tháng",30 m²,Quận Cầu Giấy,"1 PN  Căn hộ dịch vụ, mini",2 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
"Cho thuê chung cư Ngoại Giao Đoàn 3 phòng ngủ , 2 VS.",17 triệu/tháng,84 m²,Quận Bắc Từ Liêm,3 PN  Hướng Bắc  Chung cư,2 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
"cho thuê phòng ở ngắn hạn và dài hạn, phòng sạch đẹp",3 triệu/tháng,50 m²,Huyện Đông Anh,Nội thất đầy đủ,Tin nổi bật,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
"THUÊ TẦNG 4 MẶT ĐƯỜNG LẠC LONG QUÂN, CÓ HẦM ĐỂ XE - GIÁ 20 TRIỆU",20 triệu/tháng,85 m²,Quận Cầu Giấy,"2 PN  Nhà mặt phố, mặt tiền",Tin nổi bật,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
"Chính chủ cho thuê phòng khép kín, đủ pccc","3,6 triệu/tháng",30 m²,Quận Nam Từ Liêm,Nội thất đầy đủ,3 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
Cho thuê nhà nguyên căn 3 tầng 3 ngù,"9,5 triệu/tháng",27 m²,Quận Đống Đa,"3 PN  Nhà ngõ, hẻm",Tin nổi bật,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
CHO THUÊ CĂN HỘ STUDIO NỘI THẤT HIỆN ĐẠI NGAY NHÀ THI ĐẤU CẦU GIẤY,"4,7 triệu/tháng",35 m²,Quận Cầu Giấy,"1 PN  Căn hộ dịch vụ, mini",3 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
"Hợp tác/Sang nhượng quán Phở hơn 20 năm trên mặt phố Đào Tấn, Ba Đình",25 triệu/tháng,50 m²,Quận Ba Đình,Mặt bằng kinh doanh,3 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
CHO THUÊ CĂN HỘ STUDIO - PHÒNG 1 NGỦ 1 KHÁCH NGAY BẾN XE MỸ ĐÌNH,"6,5 triệu/tháng",45 m²,Quận Nam Từ Liêm,"1 PN  Căn hộ dịch vụ, mini",3 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
"Cho thuê phòng gần Văn Miếu, bệnh viện Hồng Hà, Ga Hà Nội",4 triệu/tháng,38 m²,Quận Đống Đa,Nội thất đầy đủ,Tin nổi bật,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
Cho thuê nhà 54m2 Bách Khoa Hà Nội,10 triệu/tháng,54 m²,Quận Hai Bà Trưng,"3 PN  Nhà ngõ, hẻm",3 giờ trước,https://www.nhatot.com/thue-bat-dong-san-ha-noi?page=2
