Mã bản tin,Tên xe,Giá tiền,Ngày đăng bài,Năm sản xuất,Nhiên liệu,Kiểu dáng,Tình trạng,Số km đã đi,Hộp số,Xuất xứ,Địa điểm,URL
23361891,Acura CDX 2009,139000000.0,04/09/2025,2009,Máy xăng,SUV,Xe cũ,1,Số sàn,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-acura-cdx-ha-noi/chao-ban-chiec-nhap-doi-2009-aidxc23361891
23368419,Acura CDX 2009,152000000.0,20/09/2025,2009,Máy xăng,Sedan,Xe cũ,89000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-acura-cdx-hcm/16-nhap-han-2009-xe-dep-hiem-gap-xem-la-me-aidxc23368419
23364615,Acura MDX 2008,269000000.0,12/09/2025,2008,Máy xăng,SUV,Xe cũ,90000,Số tự động,Nhập khẩu,Đà Nẵng,https://oto.com.vn/mua-ban-xe-acura-mdx-da-nang/2008-aaa-aidxc23364615
23349712,Acura MDX 2008,265000000.0,02/08/2025,2008,Máy xăng,SUV,Xe cũ,60000,Số tự động,Nhập khẩu,Hoàn Kiếm - Hà Nội,https://oto.com.vn/mua-ban-xe-acura-mdx-ha-noi/gd-can-ban-sh-2008-7-cho-xe-nhap-khau-canada-nguyen-chiec-tmot-chu-di-tu-moi-chay-6-aidxc23349712
23367148,Acura MDX 2007,270000000.0,17/09/2025,2007,Máy xăng,SUV,Xe cũ,1,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-acura-mdx-hcm/sh-awd-2007-aidxc23367148
23367135,Acura MDX 2008,299000000.0,17/09/2025,2008,Máy xăng,SUV,Xe cũ,100000,Số tự động,Nhập khẩu,Đoan Hùng - Phú Thọ,https://oto.com.vn/mua-ban-xe-acura-mdx-phu-tho/suv-nhap-canada-chat-luong-cao-gia-cuc-re-aidxc23367135
23362665,Acura SLX 2009,110000000.0,06/09/2025,2009,Máy xăng,Hatchback,Xe cũ,123456,Số tự động,Trong nước,Tp.HCM,https://oto.com.vn/mua-ban-xe-acura-slx-hcm/2009-10-at-123456-km-aidxc23362665
23371859,Acura SLX 2008,127000000.0,30/09/2025,2008,Máy xăng,Hatchback,Xe cũ,88000,Số tự động,Nhập khẩu,Việt Trì - Vĩnh Phúc,https://oto.com.vn/mua-ban-xe-acura-slx-vinh-phuc/2008-aidxc23371859
23364460,Audi A7 Sportback 55 TFSI Quattro 2011,580000000.0,11/09/2025,2011,Máy xăng,Sedan,Xe cũ,N/A,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a-7-sportback-ha-noi/a7-sportback-san-xuat-2011-aidxc23364460
23336761,Audi A7 Sportback 55 TFSI Quattro 2022,2600000000.0,02/07/2025,2022,Máy xăng,Sport Car,Xe cũ,10000,Số tự động,Nhập khẩu,Long Biên - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a-7-sportback-ha-noi/a7-sportback-sx-2021-10000km-xe-nhu-moi-aidxc23336761
23183834,Audi A1 2010,370000000.0,21/03/2025,2010,Máy xăng,Hatchback,Xe cũ,90000,Số tự động,Nhập khẩu,Hoàn Kiếm - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a1-ha-noi/370-trieu-aidxc23183834
23365119,Audi A1 S-Line 2010,400000000.0,13/09/2025,2010,Máy xăng,Sedan,Xe cũ,1,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a1-ha-noi/sx-2010-tang-vo-aidxc23365119
23367970,Audi A1 S-Line 2012,410000000.0,19/09/2025,2012,Máy xăng,Hatchback,Xe cũ,160000,Số tự động,Nhập khẩu,Long Biên - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a1-ha-noi/xe-tu-nhan-chinh-chu-bao-check-xe-thoai-mai-aidxc23367970
23363390,Audi A3 2014,300000000.0,09/09/2025,2014,Máy xăng,Sedan,Xe cũ,60000,Số tự động,Nhập khẩu,Hải Phòng,https://oto.com.vn/mua-ban-xe-audi-a3-hai-phong/2014-tai-aidxc23363390
23363653,Audi A4 2015,475000000.0,10/09/2025,2015,Máy xăng,N/A,Xe cũ,N/A,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a4-ha-noi/2015-aidxc23363653
23365107,Audi A4 2015,475000000.0,13/09/2025,2015,Máy xăng,N/A,Xe cũ,N/A,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a4-ha-noi/2015-aidxc23365107
23369811,Audi A4 2.0 TFSI 2016,699000000.0,24/09/2025,2016,Máy xăng,Sedan,Xe cũ,29800,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a4-ha-noi/2016-20-tfsi-29800-km-aidxc23369811
23372129,Audi A4 2016,680000000.0,01/10/2025,2016,Máy xăng,Sedan,Xe cũ,90000,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a4-ha-noi/2016-aidxc23372129
23366719,Audi A4 2.0 TFSI 2016,699000000.0,17/09/2025,2016,Máy xăng,Sedan,Xe cũ,82000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/20-tfsi-2016-699-trieu-aidxc23366719
23366133,Audi A4 2008,300000000.0,15/09/2025,2008,Máy xăng,Sedan,Xe cũ,100000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/2008-100000-km-aidxc23366133
23363496,Audi A4 2.0 TFSI 2009,270000000.0,09/09/2025,2009,Máy xăng,Sedan,Xe cũ,140000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/2009-140000-km-aidxc23363496
23368582,Audi A4 2010,220000000.0,21/09/2025,2010,Máy xăng,Sedan,Xe cũ,50000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/2010-20t-quattro-50000-km-aidxc23368582
23369260,Audi A4 1.8L TFSI 2014,375000000.0,23/09/2025,2014,Máy xăng,Sedan,Xe cũ,120000,Số tự động,Nhập khẩu,Hóc Môn - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/2014-120000-km-aidxc23369260
23362025,Audi A4 2.0 TFSI 2010,260000000.0,05/09/2025,2010,Máy xăng,Sedan,Xe cũ,999999,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/2016-20-tfsi-999999-km-aidxc23362025
23371454,Audi A4 2.0 TFSI 2017,699000000.0,29/09/2025,2017,Máy xăng,Sedan,Xe cũ,70000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/2017-20-tfsi-70000-km-aidxc23371454
23369560,Audi A4 1.8L TFSI 2014,499000000.0,24/09/2025,2014,Máy xăng,Sedan,Xe cũ,65000,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/model-2015-mau-den-cuc-ngau-sieu-dep-aidxc23369560
23361833,Audi A4 40 TFSI Advanced 2023,1239000000.0,04/09/2025,2023,Máy xăng,Sedan,Xe cũ,14900,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/model-2023-sieu-luot-14900-km-nhap-duc-aidxc23361833
23349432,Audi A4 1.8L TFSI 2013,385000000.0,03/09/2025,2013,Máy xăng,Sedan,Xe cũ,120000,Số tự động,Nhập khẩu,Hóc Môn - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/xe-con-rat-dep-aidxc23349432
23363634,Audi A4 S-Line 2015,460000000.0,10/09/2025,2015,Máy xăng,Sedan,Xe cũ,60000,Số tự động,Nhập khẩu,Quận 1 - Tp.HCM,https://oto.com.vn/mua-ban-xe-audi-a4-hcm/xe-gia-dinh-1-chu-mua-moi-aidxc23363634
23364845,Audi A5 Sportback 2.0 TFSI 2015,520000000.0,12/09/2025,2015,Máy xăng,Sedan,Xe cũ,110000,Số tự động,Nhập khẩu,Long Biên - Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a5-ha-noi/chay-chuan-11-van-km-aidxc23364845
23370300,Audi A6 1.8 TFSI 2017,720000000.0,25/09/2025,2017,Máy xăng,Sedan,Xe cũ,73868,Số tự động,Nhập khẩu,Hà Nội,https://oto.com.vn/mua-ban-xe-audi-a6-ha-noi/2017-18-tfsi-73868-km-aidxc23370300
