Tên xe,Giá tiền,Ngày đăng bài,Năm sản xuất,Nhiên liệu,Kiểu dáng,Tình trạng,Số km đã đi,Hộp số,Xuất xứ,Địa điểm,URL
Lexus RX 350 Luxury 2024,3.500.000.000.000 VND,12/9/2025,20,Xăng,SUV,Xe cũ,3.900 km,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM,https://oto.com.vn/mua-ban-xe-lexus-rx-350-hcm/luxury-model-2024-aidxc23304515
Ford Transit 2018,310.000.000 VND,19/09/2025,20,Dầu,Van/Minivan,Xe cũ,100.000 km,Số sàn,Trong nước,Tân Phú - Tp.HCM,https://oto.com.vn/mua-ban-xe-ford-transit-hcm/van-6-cho-2018chay-bang-b2-khong-gio-cam-aidxc23367844
Hyundai Accent 2022,420.000.000 VND,18/09/2025,20,Xăng,Sedan,Xe cũ,29.000 km,Số tự động,Nhập khẩu,Bình Dương,https://oto.com.vn/mua-ban-xe-hyundai-accent-binh-duong/2022-29000-km-aidxc23367295
Peugeot 2008 GT Line 2021,690.000.000 VND,22/09/2025,20,Xăng,SUV,Xe cũ,49.000 km,Số tự động,Nhập khẩu,Khánh Hòa,https://oto.com.vn/mua-ban-xe-peugeot-2008-khanh-hoa/2021-gt-line-12-at-49000-km-aidxc23368766
Kia Morning GT-LINE 2023,143.000.000 VND,19/09/2025,20,Xăng,Hatchback,Xe cũ,38.000 km,Số tự động,Trong nước,Đắk Lắk,https://oto.com.vn/mua-ban-xe-kia-morning-dak-lak/2023-gt-line-38000-km-aidxc23368032
Peugeot 308 GT Line 2018,450.000.000 VND,21/09/2025,20,Xăng,SUV,Xe cũ,70.000 km,Số tự động,Trong nước,Đà Nẵng,https://oto.com.vn/mua-ban-xe-peugeot-308-da-nang/2018-gt-line-70000-km-aidxc23368644
Honda City RS 2023,335.000.000 VND,18/09/2025,20,Xăng,Sedan,Xe cũ,125.000 km,Số tự động,Trong nước,Tp.HCM,https://oto.com.vn/mua-ban-xe-honda-city-hcm/2023-rs-125000-km-aidxc23367462
Mazda 3 Sedan 1.5L Luxury 2021,400.000.000 VND,16/09/2025,20,Xăng,Sedan,Xe cũ,51.926 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-mazda-3-hcm/2021-15l-luxury-51926-km-aidxc23366610
Mazda CX-5 2.0 AWD 2015,440.000.000 VND,17/09/2025,20,Xăng,SUV,Xe cũ,120.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-mazda-cx-5-ha-noi/2015-20-at-awd-120000-km-aidxc23366757
Chevrolet Spark LS 2012,165.000.000 VND,17/09/2025,20,Xăng,Hatchback,Xe cũ,98.000 km,Số sàn,Trong nước,Đồng Nai,https://oto.com.vn/mua-ban-xe-chevrolet-spark-dong-nai/2012-ls-12-bao-test-hang-aidxc23366928
Toyota Corolla Altis 2.0V 2009,485.000.000 VND,24/09/2025,20,Xăng,Sedan,Xe cũ,158.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-ha-noi/2009-20v-158000-km-aidxc23369665
VinFast Fadil Nâng Cao 2021,300.000.000 VND,24/09/2025,20,Xăng,Hatchback,Xe cũ,49.000 km,Số tự động,Trong nước,Tp.HCM,https://oto.com.vn/mua-ban-xe-vinfast-fadil-hcm/2021-14-at-plus-49000-km-aidxc23369571
Ford Ranger Wildtrak 3.2 4x4 AT 2015,500.000.000 VND,19/09/2025,20,Dầu,Bán tải,Xe cũ,180.000 km,Số tự động,Nhập khẩu,Nam Từ Liêm - Hà Nội,https://oto.com.vn/mua-ban-xe-ford-ranger-ha-noi/180000km-aidxc23367972
Toyota Innova 2.0G 2022,475.000.000 VND,18/09/2025,20,Xăng,MPV,Xe cũ,40.000 km,Số tự động,Trong nước,Đà Nẵng,https://oto.com.vn/mua-ban-xe-toyota-innova-da-nang/2022-g-20-at-40000-km-aidxc23367274
Kia Morning MT 2015,456.800.000 VND,17/09/2025,20,Xăng,Hatchback,Xe cũ,11.000 km,Số sàn,Nhập khẩu,An Phú - Bình Dương,https://oto.com.vn/mua-ban-xe-kia-morning-binh-duong/2015-mt-11000-km-aidxc23366790
Kia Morning MT 2015,456.800.000 VND,17/09/2025,20,Xăng,Hatchback,Xe cũ,11.000 km,Số sàn,Nhập khẩu,An Phú - Bình Dương,https://oto.com.vn/mua-ban-xe-kia-morning-binh-duong/2015-mt-11000-km-aidxc23366790
Nissan Sunny 1.5 XV 2013,245.000.000 VND,21/09/2025,20,Xăng,Sedan,Xe cũ,140.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-nissan-sunny-ha-noi/2013-15-xv-140000-km-aidxc23368564
Toyota Camry 2.5G 2013,785.000.000 VND,24/09/2025,20,Xăng,Sedan,Xe cũ,120.000 km,Số tự động,Trong nước,Đồng Nai,https://oto.com.vn/mua-ban-xe-toyota-camry-dong-nai/2013-25g-120000-km-aidxc23369539
Hyundai Elantra 1.6 AT 2019,495.000.000 VND,25/09/2025,20,Xăng,Sedan,Xe cũ,58.300 km,Số tự động,Trong nước,Quảng Nam,https://oto.com.vn/mua-ban-xe-hyundai-elantra-quang-nam/2019-16at-58300-km-aidxc23370218
Mitsubishi Xpander AT Premium 2022,350.000.000 VND,21/09/2025,20,Xăng,MPV,Xe cũ,85.000 km,Số tự động,Nhập khẩu,Hóc Môn - Tp.HCM,https://oto.com.vn/mua-ban-xe-mitsubishi-xpander-hcm/can-ban-aidxc23368562
Toyota Corolla Altis 1.8 G 2019,230.000.000 VND,2/9/2025,20,Xăng,Sedan,Xe cũ,75.000 km,Số tự động,Trong nước,Hóc Môn - Tp.HCM,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-hcm/gia-485tr-aidxc23361035
VinFast Fadil 2019,310.000.000 VND,26/09/2025,20,Xăng,Hatchback,Xe cũ,40.000 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-vinfast-fadil-ha-noi/mau-trang-chinh-chu-tu-khi-mua-toi-gio-aidxc23370374
Toyota Corolla Altis 1.8 G 2009,230.000.000 VND,24/09/2025,20,Xăng,Sedan,Xe cũ,93.500 km,Số tự động,Trong nước,Hà Nội,https://oto.com.vn/mua-ban-xe-toyota-corolla-altis-ha-noi/altis-18-2009-9v3-sieu-dep-aidxc23369661
Ford Escape XLS 2009,295.000.000 VND,22/09/2025,20,Xăng,SUV,Xe cũ,,Số tự động,N/A,Hà Nội,https://oto.com.vn/mua-ban-xe-ford-escape-ha-noi/2009-so-tu-dong-tai-aidxc23368895
Ford Transit Luxury 2017,465.000.000 VND,24/09/2025,20,Dầu,Van/Minivan,Xe cũ,57.940 km,Số tự động,Trong nước,Tp.HCM,https://oto.com.vn/mua-ban-xe-ford-transit-hcm/2017-luxury-57940-km-aidxc23369572
Kia Morning SX 1.1 AT Sport 2010,456.800.000 VND,23/09/2025,20,Xăng,Hatchback,Xe cũ,62.500 km,Số tự động,Nhập khẩu,Tp.HCM,https://oto.com.vn/mua-ban-xe-kia-morning-hcm/2010-sx-11-at-sport-62500-km-aidxc23369210
Chevrolet Cruze 2017,200.000.000 VND,23/09/2025,20,Xăng,Sedan,Xe cũ,190.000 km,Số sàn,Nhập khẩu,Quảng Nam,https://oto.com.vn/mua-ban-xe-chevrolet-cruze-quang-nam/can-ra-di-em-chervolet-mau-do-dk-122017-aidxc23369204
VinFast Fadil 2022,310.000.000 VND,18/09/2025,20,Xăng,Hatchback,Xe cũ,60.000 km,Số tự động,Nhập khẩu,Đà Nẵng,https://oto.com.vn/mua-ban-xe-vinfast-fadil-da-nang/2022-60000-km-aidxc23367485
Hyundai Santa Fe 2.2 Dầu Đặc biệt 2019,999.000.000 VND,20/09/2025,20,Dầu,SUV,Xe cũ,91.000 km,Số tự động,Trong nước,Đà Nẵng,https://oto.com.vn/mua-ban-xe-hyundai-santa-fe-da-nang/santafe-nha-dung-con-moi-cung-may-dau-tu-dong-aidxc23368247
